nutrient,unit_name,total_daily,percent_dri,percent_optimal,optimal_target
Biotin,UG,53.6,178.7,53.6,100.0
"Calcium, Ca",MG,1236.2,123.6,103.0,1200.0
"Carbohydrate, by difference",G,190.7,,,
"Choline, total",MG,576.5,104.8,82.4,700.0
Energy,KCAL,1495.2,,,
Energy,kJ,448.3,,,
Iodine,MCG,225.0,150.0,100.0,225.0
Niacin,MG,8.9,55.6,29.7,30.0
Protein,G,87.6,156.4,97.3,90.0
"Sodium, Na",MG,1069.7,71.3,71.3,1500.0
Total lipid (fat),G,52.9,,,
Tryptophan,G,1.0,,,
Vitamin B-12,UG,500.0,20833.3,100.0,500.0
Vitamin D (D2 + D3),UG,50.0,333.3,100.0,50.0
