Nutriente,Unità,Totale,DRI,%DRI,Opt,%Opt
Energy,KCAL,2070.02,,,2000.0,103.501
Epigallocatechin gallate (EGCG),MG,340.0,,,200.0,170.0
Caffeine,MG,30.0,,,200.0,15.0
Biotin,UG,62.50039999999999,30.0,208.33466666666664,30.0,208.33466666666664
"Choline, total",MG,765.4279999999999,550.0,139.16872727272724,700.0,109.34685714285713
"Folate, DFE",UG,1807.82,400.0,451.955,400.0,451.955
Lutein + zeaxanthin,UG,61110.0,,,10000.0,611.1
Lycopene,UG,69475.0,,,10000.0,694.75
Niacin,MG,20.32348,16.0,127.02175,16.0,127.02175
Pantothenic acid,MG,3.5387,5.0,70.774,5.0,70.774
Riboflavin,MG,1.6524999999999999,1.3,127.11538461538461,1.3,127.11538461538461
Thiamin,MG,1.8790600000000002,1.2,156.58833333333334,1.2,156.58833333333334
"Vitamin A, RAE",UG,2459.0,900.0,273.22222222222223,900.0,273.22222222222223
Vitamin B-12,UG,1000.0,2.4,41666.66666666667,250.0,400.0
Vitamin B-6,MG,2.647134,1.7,155.71376470588234,1.7,155.71376470588234
"Vitamin C, total ascorbic acid",MG,183.35,90.0,203.72222222222223,200.0,91.675
Vitamin D (D2 + D3),UG,100.0,15.0,666.6666666666666,50.0,200.0
Vitamin E (alpha-tocopherol),MG,21.215,15.0,141.43333333333334,15.0,141.43333333333334
Vitamin K (phylloquinone),UG,2444.806,120.0,2037.3383333333334,120.0,2037.3383333333334
Vitamin K2 (Menaquinone-7),UG,0.0,,,45.0,0.0
"Calcium, Ca",MG,1309.9008,1000.0,130.99007999999998,1200.0,109.15839999999999
"Chromium, Cr",UG,37.800000000000004,30.0,126.00000000000001,35.0,108.00000000000001
"Copper, Cu",MG,4.3458,0.9,482.8666666666666,0.9,482.8666666666666
Iodine,UG,450.0,150.0,300.0,150.0,300.0
"Iron, Fe",MG,43.5525,8.0,544.40625,14.0,311.0892857142857
"Magnesium, Mg",MG,1038.152,420.0,247.17904761904765,420.0,247.17904761904765
"Manganese, Mn",MG,16.90106,2.3,734.828695652174,2.3,734.828695652174
"Molybdenum, Mo",UG,292.5,45.0,650.0,45.0,650.0
"Phosphorus, P",MG,2244.678,700.0,320.6682857142857,700.0,320.6682857142857
"Potassium, K",MG,6495.23,2600.0,249.81653846153847,4700.0,138.1963829787234
"Selenium, Se",UG,73.336,55.0,133.3381818181818,55.0,133.3381818181818
"Sodium, Na",MG,1049.2015000000001,1500.0,69.94676666666668,1500.0,69.94676666666668
"Zinc, Zn",MG,17.9806,11.0,163.46,15.0,119.87066666666666
ALA,G,0.0,1.6,0.0,2.0,0.0
LA,G,0.0,17.0,0.0,17.0,0.0
Cysteine and methionine(sulfer containig AA),G,2.21552,1.8,123.08444444444446,1.8,123.08444444444446
Isoleucine,G,4.25106,3.12,136.25192307692308,3.12,136.25192307692308
Leucine,G,6.9264660000000005,4.68,148.00141025641028,4.68,148.00141025641028
Lysine,G,5.625039999999999,3.6,156.25111111111107,3.6,156.25111111111107
Phenylalanine and tyrosine (aromatic  AA),G,6.922406,3.0,230.74686666666665,3.0,230.74686666666665
Threonine,G,3.6001339999999997,2.4,150.00558333333333,2.4,150.00558333333333
Tryptophan,G,1.074926,0.48,223.9429166666667,0.48,223.9429166666667
Valine,G,4.333266,3.12,138.88673076923075,3.12,138.88673076923075
