Time In,Time Out,Description,Audio/FX,Visual
00:00,00:15,"INTRO: “A settembre ho smesso di chiedermi…”","Battito cardiaco lento, respiro in fade-in","Schermo nero → titolo digitato"
00:15,00:45,"Riflessione iniziale: “Non perché la bilancia…”","Sottofondo data-pulse -24 dB","Sfondo nero con testo bianco progressivo"
00:45,01:20,"Contestualizzazione: documentazione Cronometer + Garmin","Piano morbido + metronomo HRV (70 bpm)","Tabella Cronometer Energy/Protein/Carbs/Fat"
01:20,02:00,"Curva calorica: surplus→deficit","Crescendo elettronico controllato","Grafico curva calorica"
02:00,02:30,"Riflessione: “Il corpo è entrato e uscito dal surplus…”","Piano + archi leggeri","Transizione bianca → macro cibo (spinaci, avena)"
02:30,03:15,"Micronutrienti (Vit K, Mg, Omega-3, Folati)","Crescendo elettronico low→high-pass","Grafico barre micronutrienti (6s max)"
03:15,03:50,"Surplus funzionale","EQ voce +1.5 dB medi","Sfondo neutro con citazione testuale"
03:50,04:20,"HRV e sonno","Battito regolare + respiro ampio","Scatter HRV–BRPM dorato (r=-0.59)"
04:20,04:45,"Riflessione: “Il corpo ha imparato a ricaricarsi da solo”","Delay stereo 0.2s","Sfondo blu notte, dissolvenza lenta"
04:45,05:15,"Dati biometrici","Archi sintetici + suono data ping","Card biometriche: peso, BF, SMM, età metabolica"
05:15,05:40,"Frase chiave: “Non ho perso peso, ho perso inerzia”","Basso profondo -30 dB","Silhouette corpo → nero"
05:40,06:00,"Adattamento: “Indivia e pesche”","Soft-funk (basso+hi-hat)","Still alimenti 3×0.5s"
06:00,06:30,"Consapevolezza invisibile","Piano + chime lento (10s)","Montaggio log palestre → dati su schermo"
06:30,06:45,"Chiusura vocale","Battito che rallenta, -18→-24→silenzio","Grafico HRV → bianco → nero"
06:45,07:00,"Outro logo VBR 2025","Logo sonoro VBR, fade-out 2s","Logo bianco su fondo scuro"
