date,Vitamins,Minerals,fasting_flag
2025-09-01,"96,77","100,00",
2025-09-02,"93,12","93,44",
2025-09-03,"95,56","100,00",
2025-09-04,"93,82","100,00",
2025-09-05,"96,17","94,83",
2025-09-06,"96,79","99,08",
2025-09-07,"95,84","99,00",
2025-09-08,"95,28","99,00",
2025-09-09,"93,50","98,91",
2025-09-10,"98,13","100,00",
2025-09-11,"98,53","99,00",
2025-09-12,"88,34","94,82",
2025-09-13,"96,15","98,09",
2025-09-14,"96,28","99,00",
2025-09-15,"99,68","100,00",
2025-09-16,"85,63","98,89",
2025-09-17,"98,23","99,00",
2025-09-18,"98,76","99,00",
2025-09-19,"99,76","100,00",
2025-09-20,"98,06","100,00",
2025-09-21,"96,67","97,73",
2025-09-22,"99,57","100,00",
2025-09-23,"99,55","100,00",
2025-09-24,"99,13","100,00",
2025-09-25,"99,10","100,00",
2025-09-26,"99,18","100,00",
2025-09-27,"96,19","96,99",
2025-09-28,"96,04","97,67",
2025-09-29,"98,55","99,38",
2025-09-30,"83,06","98,30",
